City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.9167,68,52,0,11.5,CL,1612819286
bredasdorp,-34.5322,20.0403,62.6,88,5,5.75,ZA,1612819481
cidreira,-30.1811,-50.2056,74.77,71,0,12.21,BR,1612819184
mataura,-46.1927,168.8643,60.39,85,100,2.33,NZ,1612819485
ponta do sol,32.6667,-17.1,57.99,69,24,3,PT,1612819390
albany,42.6001,-73.9662,26.01,38,85,2.59,US,1612819057
kapaa,22.0752,-159.319,77,53,20,16.11,US,1612819489
nouadhibou,20.931,-17.0347,64.4,72,0,18.41,MR,1612819490
rikitea,-23.1203,-134.9692,77.13,73,20,9.22,PF,1612819358
georgetown,5.4112,100.3354,80.01,88,40,2.3,MY,1612819412
butaritari,3.0707,172.7902,81.79,83,73,20.18,KI,1612819470
isangel,-19.55,169.2667,82.4,78,40,6.24,VU,1612819489
nago,26.5881,127.9761,57.2,72,75,10.36,JP,1612819497
chokurdakh,70.6333,147.9167,-11,85,0,10.4,RU,1612819378
labuhan,-6.8844,112.2051,78.21,86,100,7.47,ID,1612819499
qaanaaq,77.484,-69.3632,20.5,80,100,6.2,GL,1612819448
ribeira grande,38.5167,-28.7,60.8,82,40,17.27,PT,1612819421
sinnamary,5.3833,-52.95,79.11,78,24,14.97,GF,1612819503
scarborough,54.2797,-0.4044,30.99,82,99,5.01,GB,1612819338
lahij,13.1667,44.5833,71.53,71,91,3.94,YE,1612819506
mao,39.8885,4.2658,55.4,76,20,10.36,ES,1612819507
puerto ayora,-0.7393,-90.3518,82.4,78,75,5.75,EC,1612819389
constitucion,-35.3333,-72.4167,65.73,73,13,12.28,CL,1612819509
samarai,-10.6167,150.6667,81.73,80,100,6.04,PG,1612819371
channel-port aux basques,47.5702,-59.1367,30.15,97,100,38.65,CA,1612819511
busselton,-33.65,115.3333,55.99,98,91,9.84,AU,1612819317
hanna,51.6334,-111.9018,-14.01,79,9,8.01,CA,1612819513
hobart,-42.8794,147.3294,54,71,75,8.05,AU,1612819353
douglas,41.3,-96.167,8.01,61,90,5.75,US,1612819518
bluff,-46.6,168.3333,56.52,92,100,11.95,NZ,1612819454
hermanus,-34.4187,19.2345,66.99,86,7,5.1,ZA,1612819493
tiksi,71.6872,128.8694,-26.64,86,100,4.9,RU,1612819340
vaini,-21.2,-175.2,78.8,94,90,10.36,TO,1612819366
hilo,19.7297,-155.09,80.6,54,20,4.61,US,1612819416
tuktoyaktuk,69.4541,-133.0374,-40,67,1,2.3,CA,1612819410
tabas,33.5959,56.9244,51.8,54,0,4.61,IR,1612819525
richards bay,-28.783,32.0377,75.67,91,82,6.6,ZA,1612819526
alvaraes,-3.2208,-64.8042,82.4,78,40,11.5,BR,1612819529
jalu,29.0331,21.5482,61.18,44,100,10.87,LY,1612819530
atuona,-9.8,-139.0333,79.68,76,75,21.41,PF,1612819315
gornopravdinsk,60.05,69.9,-17.57,88,41,2.73,RU,1612819532
te anau,-45.4167,167.7167,58.06,93,100,2.48,NZ,1612819533
toora-khem,52.4675,96.11,10.98,92,100,2.17,RU,1612819534
netphen,50.9167,8.1,18,83,98,3,DE,1612819535
ushuaia,-54.8,-68.3,64.4,59,0,13.8,AR,1612819246
thompson,55.7435,-97.8558,-16.6,69,90,13.8,CA,1612819239
port alfred,-33.5906,26.891,66,88,58,1.99,ZA,1612819319
mayor pablo lagerenza,-19.9309,-60.7718,97.43,19,24,8.19,PY,1612819541
grajau,-5.8194,-46.1386,79.75,86,95,1.23,BR,1612819542
yellowknife,62.456,-114.3525,-29.2,68,90,20.71,CA,1612819321
seoul,37.5683,126.9778,19.4,63,0,2.3,KR,1612819290
dalvik,65.9702,-18.5286,30.2,80,75,4.61,IS,1612819545
lebu,-37.6167,-73.65,64.31,80,10,9.24,CL,1612819349
baillif,16.0202,-61.7463,75.2,88,75,6.91,GP,1612819547
longyearbyen,78.2186,15.6401,12.2,57,0,10.36,SJ,1612819548
